URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/procedure-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.432",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/ach-monthly-procedure","SCT"
http://hl7.org/fhir/ValueSet/reason-medication-not-given-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.342",SNOMEDCTReasonMedicationNotGivenCodes,SNOMED CT Reason Medication Not Given Codes,"This value set includes all medication refused, medication not administered, and non-administration of necessary drug or medicine codes from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ach-monthly-medicationadministration,StructureDefinition/ach-daily-medicationadministration","SCT"
http://hl7.org/fhir/ValueSet/report-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.233",LOINCDiagnosticReportCodes,LOINC Diagnostic Report Codes,"This value set includes LOINC codes that relate to Diagnostic Observations.","StructureDefinition/ach-monthly-diagnosticreport","LOINC"
http://hl7.org/fhir/ValueSet/route-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/ach-monthly-medicationadministration,StructureDefinition/ach-monthly-medicationrequest,StructureDefinition/ach-daily-medicationrequest","SCT"
http://hl7.org/fhir/ValueSet/servicerequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.434",ServiceRequestCategoryCodes,Service Request Category Codes,"An example value set of SNOMED CT concepts that can classify a requested service","StructureDefinition/ach-monthly-servicerequest,StructureDefinition/ach-daily-servicerequest","SCT"
http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-category,3.1.1,active,,USCoreDiagnosticReportCategory,US Core DiagnosticReport Category,"The US Core Diagnostic Report Category Value Set is a 'starter set' of categories supported for fetching and Diagnostic Reports and notes.","StructureDefinition/ach-monthly-diagnosticreport-note","LOINC"
http://hl7.org/fhir/us/core/ValueSet/us-core-medication-codes,3.1.1,active,"2.16.840.1.113762.1.4.1010.4",USCoreMedicationCodes,US Core Medication Codes (RxNorm),"All prescribable medication formulations represented using  either a 'generic' or 'brand-specific' concept. This includes RxNorm codes whose Term Type is SCD (semantic clinical drug), SBD (semantic brand drug), GPCK (generic pack), BPCK (brand pack), SCDG (semantic clinical drug group), SBDG (semantic brand drug group), SCDF (semantic clinical drug form), or SBDF (semantic brand drug form)","StructureDefinition/ach-daily-medication","RxNorm"
http://terminology.hl7.org/ValueSet/v2-0092,2.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/ach-monthly-encounter,StructureDefinition/ach-daily-encounter","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,3.0.0,active,"2.16.840.1.113883.1.11.17660",ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,"A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/ach-monthly-location,StructureDefinition/ach-daily-location","THO (V3)"
http://www.cdc.gov/nhsn/fhirportal/dqm/ig/ValueSet/ach-daily-diagnostic-report-status,1.0.0,active,,AcuteCareHospitalDailyEventDiagnosticReportStatus,ACH Daily Diagnostic Report Status ValueSet,"A set of codes indicating the status of the diagnostic report.","StructureDefinition/ach-daily-diagnosticreport-lab","hl7.fhir.r4.core"
http://www.cdc.gov/nhsn/fhirportal/dqm/ig/ValueSet/ach-daily-encounter-class,1.0.0,active,,AcuteCareHospitalDailyEventEncounterClass,ACH Daily Encounter Class ValueSet,"A set of codes indicating the encounter class that represent inpatient, observation and short stay concepts.",,"THO (V3)"
http://www.cdc.gov/nhsn/fhirportal/dqm/ig/ValueSet/ach-daily-encounter-status,1.0.0,active,,AcuteCareHospitalDailyEncounterStatus,ACH Daily Encounter Status ValueSet,"A set of codes indicating the status of the encounter.","StructureDefinition/ach-daily-encounter","hl7.fhir.r4.core"
http://www.cdc.gov/nhsn/fhirportal/dqm/ig/ValueSet/ach-monthly-encounter-class,1.0.0,active,,AcuteCareHospitalMonthlyEncounterClass,ACH Monthly Encounter Class ValueSet,"A set of codes indicating the encounter class that represent inpatient, emergency, observation and short stay concepts.",,"THO (V3)"
http://www.cdc.gov/nhsn/fhirportal/dqm/ig/ValueSet/ach-monthly-encounter-status,1.0.0,active,,AcuteCareHospitalMonthlyEncounterStatus,ACH Monthly Encounter Status ValueSet,"A set of codes indicating the status of the encounter.","StructureDefinition/ach-monthly-encounter","hl7.fhir.r4.core"
